Name,Topics,Framework,Form,Notes,Due At,Difficulty,Link,Created time,Mistakes,Source
Monsters,Graphs,"For every cell find out the time to reach for person, and min time for any monster to reach there ","BFS, Multi Source Shortest Path",,"August 5, 2026",Medium,https://cses.fi/problemset/task/1194,"July 29, 2026 11:56 PM","Use char[][] for grid instead of ArrayList<ArrayList<Character>> 
Primitive BFS queue (int[]) instead of ArrayDeque<Cell> → avoids object creation and GC overhead.
Encode (row, col) as row * m + col → avoids storing Cell objects in the queue.
Use char[][] parent instead of Cell[][] parent → store only the direction (U/D/L/R) needed for path reconstruction.
Early exit if A starts on boundary → no BFS needed.
Prune unsafe player moves immediately using playerTime < monsterTime → never explore cells where a monster arrives earlier or simultaneously.
Early exit on first safe boundary reached by player BFS → BFS guarantees it is a shortest escape; no need to explore the remaining grid.",CSES
Smallest Palindromic Arrangement II,"Maths, Permuations",,,"For a palindrome to exist:
• Even length: every character must have even frequency.
• Odd length: exactly one character can have odd frequency.
• The odd-frequency character is fixed at the middle position.",,Hard,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/?envType=daily-question&envId=2026-07-29,"July 29, 2026 10:21 PM",,LeetCode
Possible Bipartition,Graphs,"The dislikes array becomes the edges for the graphs, then we need to check if the graph is bipartite or not","Bipartite Graphs, DFS",,"August 12, 2026",Medium,https://leetcode.com/problems/possible-bipartition/submissions/2082352602/,"July 26, 2026 10:41 PM",,LeetCode
Round Trip II,Graphs,if a cycle between nodes is found then the answer is yes,"Cycle Detection, DFS",,"August 9, 2026",Medium,https://maang.in/problems/Round-Trip-II-388?resourceUrl=pl3548-rs388&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 26, 2026 10:36 PM","  1. Not reassigning the global isCycle boolean variable
  2. if isCycle is true, not point of doing DFS again",AlgoZenith
Creating Teams,Graphs,"If neighbour colour is equal to the parent node, then the graph is not bipartite","Bipartite Graphs, DFS",,"August 8, 2026",Medium,https://maang.in/problems/Creating-Teams-193?resourceUrl=pl3548-rs193&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 26, 2026 10:25 PM",,AlgoZenith
"Round Trip ",Graphs,if you stumble upon an already visited node then there is a cycle,"Cycle Detection, DFS",,"August 6, 2026",Medium,https://maang.in/problems/Round-Trip-194?resourceUrl=pl3548-rs194&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 26, 2026 8:04 PM",do not process if you find parent in the neighbours for undirected graphs,AlgoZenith
Shortest Path in Binary Matrix,Graphs,"The direction vector becomes the 8 moves, only semantic difference vis[start] = 1 instead of 0","BFS, Single Source Shortest Path (SSSP)",,"August 7, 2026",Medium,https://leetcode.com/problems/shortest-path-in-binary-matrix/submissions/2081752591/,"July 26, 2026 1:38 PM",dis[start] = 1 instead of regular 0,LeetCode
KWALK,Graphs,"Save start and end state, run bfs to get the shortest path ","BFS, Single Source Shortest Path (SSSP)",,"August 5, 2026",Medium,https://maang.in/problems/KWALK-607?resourceUrl=pl3547-rs607&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 26, 2026 1:30 PM",,AlgoZenith
Number of Islands,Graphs,"Maintain a component number variable, increment it as you start bfs/dfs on an unvisited node","BFS, DFS, Flood Fill",,"August 4, 2026",Medium,https://leetcode.com/problems/number-of-islands/description/,"July 25, 2026 10:43 PM",,LeetCode
Connected Components Size,Graphs,"Maintain the components[][] and c_size[] arrays, then iterate over the graph ","DFS, Flood Fill",,"August 3, 2026",Medium,https://maang.in/problems/Connected-Component-Size-684?resourceUrl=pl3547-rs684&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 25, 2026 10:23 PM",,AlgoZenith
Building Roads,Graphs,Finding out number of components present inside the graph,DFS,,"August 8, 2026",Easy,https://maang.in/problems/Building-Roads-192?resourceUrl=pl3547-rs192&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 25, 2026 9:43 PM",,AlgoZenith
Nearest Exit From Entrance,Graphs,Use SSP then traverse on the boundary cells skipping the entrance and find the shortest distance,"BFS, Single Source Shortest Path (SSSP)","DFS gives the optimal answer in first go, so as soon as you reach a border cell we can exit","August 5, 2026",Medium,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/submissions/2078779758/,"July 24, 2026 12:06 AM",,
Labryinth,Graphs,"Use BFS on start cell to get the shortest path distance to the end cell, also store parent of the cell whose distance got updated","BFS, Single Source Shortest Path (SSSP)",,"July 30, 2026",Medium,https://cses.fi/problemset/task/1193/,"July 23, 2026 11:59 PM",,
Colour Tree,Graphs,Create adjacency list to find out degree of vertices,,,"July 27, 2026",Medium,https://maang.in/problems/Colour-Tree-416?resourceUrl=pl3546-rs416&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 20, 2026 10:48 PM",,
Find Number of Rooms,Graphs,Visit every cell and do DFS on every node to find out the connected components number,Flood Fill,,"July 27, 2026",Medium,https://maang.in/problems/Find-the-Number-of-Rooms-191?resourceUrl=pl3546-rs191&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 20, 2026 10:30 PM",,
One Edge,Graphs,"Find out the connected components size, and then find out number of ordered pairs",DFS,,"July 26, 2026",Medium,https://maang.in/problems/One-Edge-196?resourceUrl=pl3545-rs196&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 19, 2026 11:55 PM","Multiplying all sizes of cc, meant finding out number of representatives to connect all cc.
However, choosing representatives is not enough to connect the graph.
You still have to decide how those representatives are connected.
For k components, the number of trees on the chosen representatives is given by Cayley's theorem",
Easy Graph Queries,Graphs,Use component numbering framework,,,"August 2, 2026",Easy,https://maang.in/problems/Easy-Graph-Queries-400?resourceUrl=pl3545-rs400&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"July 19, 2026 11:17 PM","Use stack DS instead of recursively calling the DFS function ",
Median of Sub arrays,"Binary Search, Two Pointers",,BS on Ans (Atomic Cont),,"June 25, 2026",Hard,https://maang.in/problems/Median-of-Subarray-Sum-45?resourceUrl=pl3477-rs45&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"June 11, 2026 10:07 AM","  1. int x int overflows before long ",
Android Unlock Pattern,Backtracking LCCM,,LCCM,,"June 14, 2026",Hard,https://maang.in/problems/Android-Unlock-Pattern-486?resourceUrl=pl3524-rs486&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"June 10, 2026 10:43 AM","Mistakes & Learnings (Android Unlock Pattern)
• Started DFS only from cell 1 instead of considering all possible starting cells (1..9).
• Did not count the starting cell as already selected, causing pattern lengths to be off by one.
• Tried to determine skipped/intermediate cells using cell numbers ((next + curr) / 2) instead of using the actual grid coordinates.
• Used || when checking for a valid midpoint; a midpoint cell exists only when both row and column midpoints are integers (&&).
• Forgot to backtrack the starting cell (vis[i] = false) after each DFS call, causing state leakage between different starting positions.
• Key takeaway: For grid-based backtracking problems, model the board geometry (coordinates) rather than relying on numbering patterns, and carefully verify that every state change has a matching rollback during backtracking.",
Generate Valid Parentheses LCCM,Backtracking LCCM,"  1. Level → number of open and closed 
  2. Choice → both the parantheses
  3. Check → can only add closing if closing > opening
  4. maintain maxDepth at every stage",LCCM,,"June 13, 2026",Medium,https://maang.in/problems/Generate-Balanced-Parenthesis-medium-version-485?resourceUrl=pl3524-rs485&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"June 9, 2026 10:12 AM","Recursion State Rule:
Each recursive call represents its own state. Never overwrite the parent's state when exploring a child. Instead, compute a new child state and pass it to the recursive call.
Example:
• Parent: currentDepth = 2, maxDepth = 2
• Add '('
• Child: currentDepth = 3, maxDepth = 3
Pass (3, 3) to the child, but keep the parent as (2, 2).
For mutable objects (e.g., StringBuilder), undo changes after recursion. For primitive state (int), create new variables (newDepth, newMax) instead of modifying the parent's variables.",
N Queens Revisited,Backtracking LCCM,"Same as the N Queens , just with the knight conditions",LCCM,,"August 4, 2026",Medium,https://maang.in/problems/NQueens-Revisited-143?resourceUrl=pl3524-rs143&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"June 7, 2026 7:36 PM",,
Kth Permutation Easy,Recursion,"  1. Fixing the first digit creates (n-1)! permutations.
  2. Each choice belongs to a block of size (n-1)!.
  3. Find the block containing k:
  4. Determine which available number's block contains the k-th permutation.
  5. Choose that number:
  6. Add it to the answer and remove it from the available numbers.
  7. Convert k to its position within the chosen block:",Kth Solution,"K-th Solution Pattern
Goal: Find the k-th valid solution without generating all solutions.
Key Insight:Use counting to skip entire blocks of solutions instead of generating them one by one.","June 14, 2026",Hard,https://maang.in/problems/Kth-Permutation-easy-version-476?resourceUrl=pl3523-rs476&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"June 7, 2026 2:08 PM",,
Longest Repeating Character Replacement,Two Pointers,,"Sliding Window, Two Pointers","Template Recognition
Whenever you see:""Longest/maximum window after changing/removing at most k elements""
ask:Can I express validity as windowSize - something <= k?
For Character Replacement:
windowSize - maxFrequency <= k
That's the property the sliding window maintains. Your original code instead tried:
windowSize - frequency(leftCharacter) <= k
which is the wrong ""something"".","June 5, 2026",Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,"June 3, 2026 10:42 AM",Mistake was assuming that the character at the left pointer (s.charAt(tail)) must be the character the whole window is converted into.,
N Queens,Backtracking LCCM,"  1. use LCCM, L → rows, Choice → columns, Check → no diagonals and column same, Move → push to ans list",LCCM,"We need to explore all choices so we go with LCCM 
To check if two points are on the same diagonal
Math.abs(y2 - y1) == Math.abs(x2 - x1) ","August 4, 2026",Hard,https://leetcode.com/problems/n-queens/,"May 31, 2026 6:35 PM",,LeetCode
Smallest Range Covering Elements from K Lists,Two Pointers,"  1. save the matrix in form of pairs and sort the created list
  2. do two pointers form 1 on the sorted list",Two Pointers Form 1,,"June 3, 2026",Hard,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/description/,"May 31, 2026 5:21 PM",,
3 Sum,Two Pointers,"  1. For i ,j ,k fix j and then use two pointers approach with form 2",Two Pointers Form 2,"2 Sum, 3 Sum, Container with most water comes under form 2 of two pointers.","June 4, 2026",Medium,https://maang.in/problems/3-Sum-65?resourceUrl=pl3476-rs65&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 26, 2026 7:41 PM","  1. Array should be sorted
  2. long - Integer.MIN_VALUE can exceed integer values",
Number of Subarray with at most K sum,Two Pointers,"  1. increase subarray size till checks are passing
  2. add to ans head - tail + 1, as number of sub arrays have been asked",Two Pointers Form 1,"the question fits the equation
Find the ___ satisfying Criteria.
# of , min len , max len, sum of all, sum of len of all subarrays","June 7, 2026",Medium,https://maang.in/problems/Number-of-Subarray-with-sum-at-most-K-59?resourceUrl=pl3467-rs59&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 24, 2026 2:15 PM",,
Container with Most Water,Two Pointers,"  1. we start from extreme ends and then move inside
  2. we update the pointer for the min value amongst the two",Two Pointers Form 2,"to maximise the area we will first max the |i-j| part, clearly indicating we should be at extreme parts, which mean we need some sort of two pointer
for min value part maximisation we will move the left or right pointer according to min value amongst, thus it is a form 2 for two pointer","June 9, 2026",Medium,https://leetcode.com/problems/container-with-most-water/solutions/,"May 24, 2026 1:06 PM",,
Maximise The Fraction,Binary Search,"  1. Use BS on real range, use a max heap to get biggest k numbers
  2. use a - x.b >0 as the monotonic function",BS on Ans (Atomic Cont),,"May 26, 2026",Hard,https://maang.in/problems/Maximise-the-fraction-105?resourceUrl=pl3462-rs105&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 24, 2026 9:27 AM",,
Good Pairs,Two Pointers,"  1. Sort the difference of arrays
  2. Use two pointer to find the answer",Two Pointers,,"May 26, 2026",Medium,https://maang.in/problems/Good-Pairs-AZ101-377?resourceUrl=pl3462-rs377&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 23, 2026 10:03 PM",,
Classroom,Binary Search,"  1. Sort the array, min dis  = 1, max = arr[n-1] - arr[0]
  2. Use binary search on ans to greedily place students",BS on Ans (Sweep Based),"If we can place more than k students for min dist x , then we can place more than k for x - 1 , which makes a monotonic function, thus we can use BS on Ans","May 27, 2026",Medium,https://maang.in/problems/ClassRoom-471?resourceUrl=pl3462-rs471&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 23, 2026 9:08 PM",Tried taking a two pointer approach instead of a lastPos val for check function,
Consecutive Ones,Two Pointers,,,,,Medium,https://maang.in/problems/Consecutive-one-44?resourceUrl=pl3461-rs44&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 21, 2026 1:11 PM",,
Kth Sum Value,Binary Search,"  1. Iterate over the smaller array and then do BS on the second array to get upper bound
  2. sum these values and use binary search on anwer",BS on Ans (Atomic Cont),"Sorting the arrays would not make a difference to answers, so we can do BS. Also this was Kth Smallest Type value question","June 8, 2026",Medium,https://maang.in/problems/Kth-Sum-Value-102?resourceUrl=pl3461-rs102&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 17, 2026 4:04 PM","Not swapping the array, this caused O(n) time iteration on the longer array",
Min Max Difference,Binary Search,"  1. calculate the number of points required to get the max diff 
  2. no of points += (d + max - 1 ) / max - 1 ",BS on Ans (Sweep Based),"The answer is the max difference between immediate points, if we can make this diff using x points then, we can make any max diff greater than the current diff. 
There is a value above which every value satisfies → check function in binary search","May 22, 2026",Medium,https://maang.in/problems/Minimise-Max-Diff-46?resourceUrl=pl3460-rs46&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 16, 2026 6:47 PM",,
Number & Sum of Digits,Binary Search,"  1. find the smallest value X that satisfies the question, then ans = N - X + 1 ",Binary Search,,"June 16, 2026",Easy,https://maang.in/problems/Number-Sum-of-Digit-26?resourceUrl=pl3459-rs26&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 16, 2026 5:58 PM",,
Bitonic Array,Binary Search,"  1. Check function is arr[mid] > arr[mid+1]",Binary Search,,"July 12, 2026",Easy,https://maang.in/problems/Bitonic-Array-107?resourceUrl=pl3459-rs107&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 16, 2026 5:34 PM",,
Rotated Sorted Array,Binary Search,"  1. Check function is arr[idx] > arr[n-1]",Binary Search,,"July 13, 2026",Easy,https://maang.in/problems/Rotated-Sorted-Array-108?resourceUrl=pl3459-rs108&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 16, 2026 12:48 PM",,
Famous Painter Partition,Binary Search,We sweep over the array to find the number of painters required and check it with available,BS on Ans (Sweep Based),"if k painters are able to finish optimally then k+1 will also and so on, so it is a monotonic function, we can use Binary Search","August 10, 2026",Medium,https://maang.in/problems/Famous-Painter-Partition-Problem-472,"May 12, 2026 9:14 AM",,AlgoZenith
Factory Machines,Binary Search,"  1. calculate the max and min time to complete the task
  2. do BS to find out the optimal time",BS on Ans (Atomic Cont),Individual items sum should be greater than or equal to a value → it becomes a 0 0 0 1 1 1 question,"June 10, 2026",Medium,https://cses.fi/problemset/task/1620/,"May 12, 2026 12:07 AM",,
Points on Line,"Arrays, Binary Search","  1. Fix a point and then user upper bound 
  2. use nc2 to get the number of triplets","Binary Search, Contribution Technique, Sliding Window","When you see:
• sorted array
• distance/range constraint
• count subsets/subarrays inside valid range
think:
Sliding window + combinatorics
because valid elements form a contiguous range.
The additive contribution idea here is:
For each right endpoint r:
How many triplets contributewith r as the farthest point?
That contribution is:
C(number of valid previous points, 2)","May 30, 2026",Medium,https://codeforces.com/problemset/problem/251/A,"May 11, 2026 10:36 PM",,
"Find Peak ","Arrays, Binary Search","  1. check if the next element is increasing → lo = mid + 1",,"Intermediate Value Theorem, if the next value is greater than the current, at least one peak exists to the right",,,https://leetcode.com/problems/find-peak-element/,"May 10, 2026 7:46 PM",,
Queues AZ101,Queues,,,,"June 5, 2026",Easy,https://maang.in/problems/Queue-AZ101-349?resourceUrl=pl3437-rs349&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 14, 2026 9:24 AM",,
Queues using 2 stacks,"Queues, Stacks","  1. Optimisation: Only transfer elements to out queue when it empty, otherwise it always hold the front elem of queue",,,"June 13, 2026",Easy,https://maang.in/problems/Queue-using-2-Stacks-AZ101-350?resourceUrl=pl3437-rs350&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 14, 2026 9:52 AM",,
Good Sequence AZ101,HashMap,"  1. use the (Map.Entry<T, T> entry : map.entrySet())",,,"June 11, 2026",Easy,https://maang.in/problems/Good-Sequence-AZ101-375?resourceUrl=pl3438-rs375&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 15, 2026 9:50 AM",,
Magical Candy,Priority Queue,"  1. Use PQ to fetch the largest element every time",,,"June 12, 2026",Easy,https://maang.in/problems/The-Magical-Candy-Bag-AZ101-365?resourceUrl=pl3439-rs365&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 16, 2026 11:13 PM",,
Reduce the Array,Priority Queue,"  1. Use PQ to repeatedly fetch the smallest two elements and merge",,,"June 17, 2026",Easy,https://maang.in/problems/Reduce-the-Array-AZ101-376?resourceUrl=pl3439-rs376&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 17, 2026 10:00 AM",,
Multi Map AZ101,"HashMap, Queues","  1. use a combination of string to queue map to create a multi map",,,"June 6, 2026",Easy,https://maang.in/problems/Multimap-AZ101-363?resourceUrl=pl3439-rs363&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 18, 2026 4:27 PM",,
Set Operations AZ101,Sets,,,,"June 9, 2026",Easy,https://maang.in/problems/Set-Operations-AZ101-372?resourceUrl=pl3440-rs372&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 18, 2026 5:16 PM",,
Towers AZ101,MultiSets,"  1. Use TreeMap to implement Multiset.
  2. Iterate and find higher_key if found replace existing otherwise append
  3. answer is sum of frequencies of elem in treemap.",,"  1. We needed upper bound with frequency
  2. So we used a treemap as it gives us both","June 19, 2026",Medium,https://maang.in/problems/Towers-AZ101-362?resourceUrl=pl3441-rs362&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 18, 2026 11:46 PM",,
Deque AZ101,Deque,,,,"June 19, 2026",Easy,"https://maang.in/problems/Deque-AZ101-353?resourceUrl=pl3442-rs353&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]","April 19, 2026 2:05 PM",,
Indexed Set,"Arrays, Binary Search, Indexed Set","  1. Use Arraylist and BS to implement Indexed Set, Ordered Set",,,"June 6, 2026",Easy,https://maang.in/problems/Indexed-Set-367?resourceUrl=pl3442-rs367&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 19, 2026 2:35 PM",,
Design Event Manager,"HashMap, Sets","  1. Use a combination of Set and HashMap and create a static private class to define event.
  2. Use TreeSet comparator property to sort the events",,,"June 17, 2026",Medium,https://leetcode.com/problems/design-event-manager/description/,"April 19, 2026 7:58 PM",,
Find Median from Data Stream,Heaps,"  1. Partition into maxHeap and minHeap 
  2. Add to maxHeap then balance both the heaps so that , size difference is always less than equal to 1.",,"  1. We need to split the array
  2. we use max and min heap to keep elem sorted","June 12, 2026",Medium,https://leetcode.com/problems/find-median-from-data-stream/,"April 22, 2026 9:46 AM",,
Buy Maximum Objects II,"Arrays, PrefixSum","  1. User PF Sum to get logn in queries",,,"July 13, 2026",Easy,https://maang.in/problems/Buy-Maximum-Objects-II-74?resourceUrl=pl3443-rs74&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 24, 2026 9:11 AM",,
"STL Searching ","Arrays, Binary Search",,Upper/Lower Bound,"For queries of no of elem < x or smallest number > x , think of upper and lower bound","June 11, 2026",Easy,https://maang.in/problems/STL-Searching-395?resourceUrl=pl3443-rs395&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 24, 2026 9:57 AM",,
Valid Paranthesis AZ101,"Arrays, Stacks","  1. Maintain a depth counter to maintain the depth
  2. Incase of multiple characters use a stack , push opening to stack and then match the stack top with closing bracket.",,,"June 15, 2026",Easy,"https://maang.in/problems/Valid-Parentheses-AZ101-348?resourceUrl=pl3444-rs348&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]","April 26, 2026 11:58 AM",,
Maximum in Window,"Arrays, Deque, MultiSets","  1. Create MQ which supports insert, removal, max/min retrieval
  2. insert → remove existing greater/min elements then add
  3. remove → if arr[i-k] == first, then remove first
  4. retrieval → first elem of the deque",Sliding Window,,"June 19, 2026",Medium,https://maang.in/problems/Maximum-in-Window-77?resourceUrl=pl3445-rs77&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 26, 2026 6:54 PM",,
"Count subarrays with sum k ","HashMap, PrefixSum","  1. Use a combination of prefix sum and hash map to make it a two sum problem.",PrefixSUM,"  1. Whenever you see sum of a range type, try to think of PrefixSum
  2. For faster Lookup HashMaps","June 22, 2026",Medium,https://leetcode.com/problems/subarray-sum-equals-k/submissions/,"April 27, 2026 9:41 AM",Two Pointers do not work on negative numbers,
